"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"opinion-dynamics.nlogo"
"MediaShockANDCorruption"
"07/17/2025 15:39:05:221 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","media-shock?","corruption-active?","opinion-drift?","[step]","avg-trust","avg-surveillance","avg-inclusion","avg-net-density","links-formed-this-tick","links-broken-this-tick","count turtles with [opinion-trust < 0.3]","count turtles with [count link-neighbors = 0]"
"5","true","true","false","29","2.4814592027899273E-4","0.48755191864222214","0.4880898674554963","7.452941176470588","14","6","1020","3"
"2","true","true","false","36","0","0.4934159448640249","0.489228246679349","7.443137254901961","9","0","1020","0"
"3","true","true","false","31","0","0.4751400235061337","0.4901530713747013","7.427450980392157","6","0","1020","0"
"1","true","true","false","15","0.018125516433092775","0.4736083042293153","0.5009167412077934","4.711764705882353","470","346","1014","50"
"2","true","true","false","37","0","0.4949165523972536","0.4901298844258358","7.456862745098039","7","0","1020","0"
"4","true","true","false","37","0","0.501499032687477","0.5075381964734409","7.409803921568628","6","0","1020","0"
"5","true","true","false","30","2.4392736932892292E-4","0.4857380212847206","0.4875015931803874","7.458823529411765","15","12","1020","3"
"3","true","true","false","32","0","0.4742046953496457","0.4911106694919117","7.43921568627451","6","0","1020","0"
"2","true","true","false","38","0","0.49494854395864696","0.48915314672913046","7.46078431372549","2","0","1020","0"
"4","true","true","false","38","0","0.500470292375112","0.5096830358640204","7.41764705882353","4","0","1020","0"
"5","true","true","false","31","0","0.4837772711427118","0.4861712060278982","7.482352941176471","12","0","1020","0"
"2","true","true","false","39","0","0.4949702128594556","0.48811813281063693","7.46078431372549","0","0","1020","0"
"3","true","true","false","33","0","0.4744744426596845","0.4912072000756671","7.449019607843137","5","0","1020","0"
"4","true","true","false","39","0","0.4987916923155895","0.5095905094883942","7.41764705882353","0","0","1020","0"
"1","true","true","false","16","0.017047965737594217","0.47375975997935227","0.5023751945151577","4.796078431372549","428","385","1014","56"
"4","true","true","false","40","0","0.498207297771958","0.5112620800919085","7.41764705882353","0","0","1020","0"
"5","true","true","false","32","0","0.4838981100732093","0.4859336125235103","7.5058823529411764","12","0","1020","0"
"3","true","true","false","34","0","0.4743808331084849","0.49066519567579536","7.456862745098039","4","0","1020","0"
"2","true","true","false","40","0","0.494650002131677","0.4880025750730103","7.46078431372549","0","0","1020","0"
"4","true","true","false","41","0","0.49669349005090285","0.510473111174176","7.41764705882353","0","0","1020","0"
