"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"collective-action-imitation.nlogo"
"General Analysis CA Baseline"
"07/17/2025 13:59:54:765 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-resisted","corruption?","coercion-level","initial-enrolled","corruption-penalty","media-shock-freq","trust-erosion","force-enrollment?","appeals-process?","media-shock?","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy"
"3","100","true","0","300","1","91","51","true","true","true","39","300","338","362","161","139","71","267","0.4677004608211185","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","41","300","336","364","156","144","72","264","0.4629797999063427","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","47","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","40","300","338","362","161","139","71","267","0.4677004608211188","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","42","300","336","364","156","144","72","264","0.46297979990634297","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","48","300","366","334","168","132","63","303","0.44608409642818536","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","41","300","338","362","161","139","71","267","0.46770046082111877","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","43","300","336","364","156","144","72","264","0.46297979990634225","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","49","300","366","334","168","132","63","303","0.4460840964281847","0.31176470588235294","0.11242603550295859"
"4","100","true","0","300","1","91","51","true","true","true","50","300","366","334","168","132","63","303","0.4460840964281848","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","44","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","51","300","366","334","168","132","63","303","0.44608409642818464","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","45","300","336","364","156","144","72","264","0.4629797999063429","0.3215686274509804","0.11041666666666666"
"5","100","true","0","300","1","91","51","true","true","true","46","300","336","364","156","144","72","264","0.462979799906343","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","52","300","367","333","168","132","64","303","0.44069193956543945","0.31176470588235294","0.11242603550295859"
"4","100","true","0","300","1","91","51","true","true","true","53","300","367","333","168","132","64","303","0.4406919395654397","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","47","300","336","364","156","144","72","264","0.46297979990634214","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","54","300","367","333","168","132","64","303","0.4406919395654396","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","48","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","55","300","367","333","168","132","64","303","0.4406919395654397","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","49","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
